id,pass,pm_row
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,1
11,0,1
12,0,1
13,0,1
14,0,1
15,0,2
16,0,2
17,0,2
18,0,2
19,0,2
20,0,3
21,0,3
22,0,3
23,0,3
24,0,3
25,0,4
26,0,4
27,0,4
28,0,4
29,0,4
30,0,5
31,0,5
32,0,5
33,0,5
34,0,5
35,0,6
36,0,6
37,0,6
38,0,6
39,0,6
40,0,7
41,0,7
42,0,7
43,0,7
44,0,7
45,0,8
46,0,8
47,0,8
48,0,8
49,0,8
50,0,9
51,0,9
52,0,9
53,0,9
54,0,9
55,0,10
56,0,10
57,0,10
58,0,10
59,0,10
60,0,11
61,0,11
62,0,11
63,0,11
64,0,11
65,0,12
66,0,12
67,0,12
68,0,12
69,0,12
70,0,13
71,0,13
72,0,13
73,0,13
74,0,13
75,0,14
76,0,14
77,0,14
78,0,14
79,0,14
80,0,15
81,0,15
82,0,15
83,0,15
84,0,15
85,0,16
86,0,16
87,0,16
88,0,16
89,0,16
90,0,17
91,0,17
92,0,17
93,0,17
94,0,17
95,0,18
96,0,18
97,0,18
98,0,18
99,0,18
